,sentence,class
0,آیا فردا هوا ابری است,0
1,هوا فردا آلودست,0
2,شاخص آلودگی چنده,0
3,یعنی فردا بارون میباره,0
4,پس کی برف میباره,0
5,هواشناسی در مورد آب و هوا چی گفته,0
6,آلودگی هوای تهران به چه علت است,0
7,هوای نسبی ایران نسبت به روز گذشته چه تغییری کرده است,0
8,دمای هوا چقدر است,0
9,آیا هفته‌ی آینده باران می‌بارد,0
10,تغییرات آب و هوا نسبت به هفته‌ی گذشته چگونه است,0
11,آیا فردا هوا ابریست,0
12,آیا فردا باران میبارد,0
13,امروز هوا سرد‌تر است,0
14,هواشناسی در مورد هوای فردا چه میگوید,0
15,آیا هوا آفتابی است,0
16,آیا فردا هوای کرمان سرد میشود,0
17,آیا آب و هوای کشور نروژ مثل ایران است,0
18,کره‌ی زمین روز به روز گرم‌تر می‌شود,0
19,آیا هوا برای پیاده روی مناسب است,0
20,سرد‌ترین روز سال چه روزی است,0
21,هوای برلین فردا بارونی است,0
22,هوا امروز سرد بود,0
23,هوا سرد شده و ملت تازگیا دارن قربون صدقه برف میرن,0
24,فردا هم هوا مثل امروز بارونیه,0
25,پارسال انقدر هوا سرد نبود بود,0
26,مثل اینکه امسال هوای تهران قراره از همه‌ی سال‌های قبلی سردتر باشه بارش برف سال هشتاد و پنج سنگینتر بود یا بارشهای برف امسال قراره سنگینتر باشه,0
27,طولانیترین بارش بارانی که تا حالا بوده چند روز بوده,0
28,بیشترین ارتفاعی که تا بحال برف آمده چقدر بوده است,0
29,هوا فردا چطور است,0
30,هوای آمستردام معمولا چگونه ست,0
31,آیا در پنج روز آتی در تهران برف خواهد آمد,0
32,چتر لازم دارم,0
33,بارون میاد,0
34,رگبار می‌زنه,0
35,آیا سه شنبه باران می‌بارد,0
36,آیا هوای بارانی را دوست داری,0
37,توی این هوا بهتره چه لباسی بپوشیم,0
38,هوا چطوره,0
39,هوای گرم بهتره یا سرد,0
40,تو هوای گرم لباس روشن میپوشن,0
41,هوای ایران گرم و خشکه یا سرد و مرطوب,0
42,هوای بارونی طرفدار بیشتری داره یا هوای آفتابی,0
43,آب و هوا ی کرمان بطور کلی چگونه است,0
44,میانگین بارندگی سالانه در تهران چقدر است,0
45,فردا هوا برفی خواهد بود,0
46,هوا اگه بارونی بود میای بریم بیرون,0
47,شنیدم هفته بعد هوا قراره گرم بشه درسته,0
48,چه قدر هوا سرد شده,0
49,فردا هوا سرد است,0
50,هوای سرد برای کاشت چه نوع درختی متناسب است,0
51,اب و هوای این منطقه چگونه است,0
52,هوای تهران در هفته پیش رو چگونه است,0
53,هوا امروز سرد بود,0
54,چرا هوای تهران همیشه آلوده است,0
55,آیا هوای تهران پاکیزه خواهد بود روزی,0
56,آیا هوای تهران را میتوان تحمل کرد,0
57,بنظرت بهترین آب و هوا برای کدوم فصله,0
58,آب و هوای مورد علاقت چیه,0
59,تو این آب و هوا لباس گرم نمی‌پوشی,0
60,آب و هوای امسال با پارسال خیلی فرق نداره,0
61,آب و هوای کدوم کشورو می‌پسندی,0
62,آیا امروز باران آمد,0
63,دمای هوا شب‌ها به چند درجه می‌رسد,0
64,میاگین سرعت باد چقدر است,0
65,آفتابیست هوا یا گرفتست هنوز,0
66,آسمان امروز رشت ابری است,0
67,هوای ایران معتدل است,0
68,آیا دیروز هوای نوشهر بارانی بود,0
69,هوای نوشهر بارانی است,0
70,هوا امروز چطوره,0
71,آیا تو هوای آفتابی را بیشتر از بارانی دوست داری,0
72,برای اخر هفته هواشناسی چه پیش بینی ای کرده,0
73,آلودگی هوای تهران رو به بهبود است یا نه,0
74,هواشناسی وضعیت استان‌های کشور رو چگونه اعلام کرد,0
75,چرا هوای تهران آلوده است,0
76,آیا هوای تهران آلوده است,0
77,فردا هوای اهواز چند درجه است,0
78,آیا هوای شوشتر گرم است,0
79,هوای قزوین در هفته‌ی آینده بارانی است,0
80,چرا امسال کمتر بارون اومد,0
81,هوای گرم رو بیشتر دوس داری یا هوای سرد,0
82,هوای شمال چطوریه,0
83,اگر بارون بیاد ترافیک میشه,0
84,آب و هوای دانشکاه آزاد تهران چگونه است,0
85,دمای شهر ایده‌آل شما برای زندگی چند درجه است,0
86,پیش‌بینی هواشناسی برای آب و هوای فردا چگونه است,0
87,آب و هوای آفتابی بهتر از آب و هوای ابری است,0
88,هوای نزدیک ظهر بهتر از دم غروب است,0
89,هوای شهر شما چگونه است,0
90,هوا اطراف شما هم سرد است,0
91,شنبه هفته آینده هوا چند درجه است,0
92,آب و هوا ساری در دو روز آینده چگونه است,0
93,شاخص آلودگی هوا تهران الان چقدر است,0
94,سرعت باد در البرز امروز چقد بود,0
95,رطوبت هوا گیلان در روز گذشته چقد بوده است,0
96,دمای هوا اهواز فردا چقدر پیش بینی میشود,0
97,آیا هوا فردا ابری است,0
98,پارسال همین تاریخ آب و هوای پاریس چگونه بود,0
99,کی باران در تهران باران می‌بارد,0
100,آیا هم اکنون رشت هم بارانی است,0
101,فردا صبح برف خواهد بارید,0
102,چقدر در طول آذرماه در تبریز باران بارید,0
103,بیرون هوا چطور بود,0
104,فردا بارونیه,0
105,دیروز هوای مشهد چگونه بود,0
106,جمعه هفته آینده هوای مشهد چگونه است,0
107,دوروز قبل هوای مشهد چند درجه بود,0
108,الان اب و هوای جزایر مالیدیو چگونه است,0
109,پارسال سرد بود,0
110,امسال نسبت به پارسال سردتره,0
111,آیا فردا هوا ابریست,0
112,آیا فردا باران میبارد,0
113,امروز هوا سرد‌تر است,0
114,هواشناسی در مورد هوای فردا چه میگوید,0
115,کی قراره برف بیاد,0
116,ایا اب و هوا تا اخر سال قراره بارونی باشه,0
117,چرا الودگی هوا تموم نمیشه دلیلش چیه,0
118,چرا انقد هوا الوده شده,0
119,بارون تا چندشنبه ادامه داره,0
120,پیشبینی وضعیت هوای تهران برای آخر هفته دیگر چگونه است,0
121,هوای کالیفرنیا خوبه,0
122,امسال تو ایران چند میلی متر بارون اومد,0
123,الان تهران هوا چند درجه است,0
124,گرم‌ترین شهر امروز جهان کجا بود,0
125,پر باران‌ترین سال سده اخیر در ایران چه سالیه,0
126,وضع کلی هوا چه طوریه,0
127,فردا هوا چطوریه,0
128,هوا چقدر خوبه امروز,0
129,هوای دیروز چقدر سرد بود,0
130,هوا بارونیه,0
131,آیا هوای فردای تهران بارانیست,0
132,هوای هفته‌ی آینده‌ی برلین چگونه خواهد بود,0
133,آیا پاییز امسال برف می‌بارد,0
134,آیا پارسال پاییز برف می‌بارید,0
135,آیا تابستان گرمی در راه است,0
136,فردا هوا سرده,0
137,آیا فردا هوا بارانی است,0
138,دیروز در کدام شهر برف بارید,0
139,هوای ابری را دوست داری یا آفتابی,0
140,با این باران احتمال سیل چقدر است,0
141,فردا هوا آبی بارانی است,0
142,آیا میانگین بارندگی امسال از سال پیش بیشتر است,0
143,سرد‌ترین زمستان تاریخ ایران چه سالی بوده است,0
144,آلودگی هوای امروز چه قدر است,0
145,هوا چطوره,0
146,امروز بارون میاد,0
147,اولین برف پارسال کی بود,0
148,هوای تهران چند درجه است,0
149,وضعیت هوای هفته پیش رو چجوره,0
150,آیا ممکن است ۱۰ سال دیگر همین جا برف بیاید,0
151,بارون میاد,0
152,سرده,0
153,هوای فردا بارانیست,0
154,هوای محل زندگی تو چگونه است,0
155,هوای بارانی را دوست داری,0
156,میانگین درجه هوای امسال تهران در تابستان چند بوده است,0
157,هوای در هفته‌ی آینده رو به سردی پیش میرود,0
158,هفته بعد هوا بوشهر بارانی است,0
159,پیش بینی هواشناسی برای هفته بعد چه بود,0
160,آیا دریا برای چهل و هشت ساعت آینده مواج خواهد بود,0
161,امشب هوای اردبیل تا چند درجه سرد میشود,0
162,میانگین دمای امروز تهران چند درجه است,0
163,امروز هوا چطوره,0
164,آیا هوای امروز بارانی است,0
165,امشب هوا چقدر سرد می‌شود,0
166,دیروز هوا سرد بود,0
167,آلودگی هوا امروز در چه وضعیتی است,0
168,فردا آفتابی می‌شود,0
169,هوا چند درجه است,0
170,آیا هوا آلوده است,0
171,کی هوا‌بارانی است,0
172,فردا هوا سرد است,0
173,هوای سرد برای کاشت چه نوع درختی متناسب است,0
174,اب و هوای این منطقه چگونه است,0
175,هوای تهران در هفته پیش رو چگونه است,0
176,چرا برف نمیاد,0
177,چرا طوفان شده,0
178,هوای اطراف بندر چطوره,0
179,اونجا هوا سرده یا نه,0
180,هواش خیلی شرجی نیست به نظرت,0
181,آیا امروز نیاز به چتر دارم,0
182,آیا لازم است کت بپوشم,0
183,آیا امروز هوا بارانی است,0
184,آیا امروز باران می‌بارد,0
185,آخرین باری که هوا بارانی بود کی بود,0
186,امروز هوا به طرز عجیبی گرم است,0
187,آیا هفته بعد هوا آفتابی میشود,0
188,هوا در نیم کره جنوبی کره زمین الان چگونه است,0
189,نظرت درباره آب و هوای جزایر قناری چیست,0
190,آیا هوا طوفانی میشه,0
191,دیروز برف بارید,0
192,الان هوا در زنجان ابری است,0
193,تا کی قرار است باران ببارد,0
194,فردا هوا چطور خواهد بود,0
195,آیا آب و هوای زنجان سرد و خشک است,0
196,این جا هوا خیلی خوب است,0
197,از کجا بدونم هوا چند درجه ست,0
198,من که صبح تا شب تو خونه خودمو حبس کردم در واقع حبس شدم چرا باید آب و هوای تخمی تهران یا هر جهنم دیگه‌ای به جاییم باشه,0
199,نسبت به پارسال اینموقع هوای تهران سردتر شده,0
200,دمای کدوم شهر از همه تو ایران کمتره,0
201,کدام کشور سردترین آب و هوا را دارد,0
202,متنوع‌ترین منطقه ایران از نظر آب و هوایی کجاست,0
203,گرم‌ترین روز تهران در سال گذشته چه روزی بود,0
204,میانگین درجه هوای هند چقدر است,0
205,دمای هوای تهران در طی ۱۰ سال اخیر چند درجه افزایش یافته است,0
206,هوای یک هفته پیش تورنتو چند درجه بود,0
207,هوا چقدر سرده نه,0
208,هوا خیلی تاریکه فردا آفتابیه,0
209,هوای مشهد چطوره,0
210,هفتهٔ آینده برف میاد,0
211,نظرت راجع به هوای امروز چیه,0
212,هوا دونفره‌س,0
213,هوای شرجی غیرقابل‌تحمله,0
214,به نظرت آب‌وهوای مربوط از استوایی بهتر نیست,0
215,سردترین دما در همدان چند درجه بوده است,0
216,کی دوباره بارون می‌آید,0
217,چرا خونه انقدر سرده,0
218,پارسال این موقع تهران بارون اومد,0
219,آخرین باری که بارون اومد کی بود,0
220,هوا قراره سرد بشه,0
221,هوا فقط ابریه یا بارون میخواد بیاد,0
222,هوا چند درجه س,0
223,بهترین هوا رو الان کجا داره,0
224,امروز هوا چطوره,0
225,هوا چند درجست,0
226,بنظرت از سال پیش سردتر نیست,0
227,امروز بارون میاد,0
228,هفته پیش گرم‌تر نبود,0
229,آب و هوای هفته آینده رفسنجان چطور است,0
230,میزان بارش باران چند میلیمتر گزارش شد,0
231,ایا این سامانه بارشی پایدار خواهد ماند,0
232,ایا امکان بارش برف وجود دارد,0
233,طوفان امروز امریکا چقدر خسارت داشته,0
234,چه زمانی اذان مغرب شروع می‌شود,1
235,اذان کیه,1
236,طلوع آفتاب ساعت چنده,1
237,اذان ظهرو گفتن,1
238,ساعت چند افطار میشه,1
239,چقدر مونده تا غروب آفتاب,1
240,اذان صبح چه ساعتی‌ست,1
241,اختلاف زمانی اذان ظهر شهر تهران و مشهد چقدر است,1
242,اذان صبح خیلی زود است,1
243,چه ساعتی غروب آفتاب به افق تهران است,1
244,چه ساعتی نیمه‌شب شرعی به افق تهران است,1
245,چه زمانی برای خواندن نماز صبح مناسب است,1
246,آیا اذان ظهر ساعت ۱۲ است,1
247,صبح کی قضا میشه,1
248,نماز شب را باید چه زمانی بخوانیم,1
249,اذان صبح به افق تهران چه زمانی‌ست,1
250,چه فرقی دارد اذان کی باشد,1
251,آفتاب کی طلوع میکنه,1
252,اذان صبح را کی خواندند,1
253,بعد از اذان ظهر در نمازخانه نمازگزاری کنم یا در مسجد,1
254,تفاوت زمانی بین غروب آفتاب و اذان مغرب چقدر است,1
255,اذانه,1
256,تا کی میشه نماز خوند,1
257,نمازم قضا شد,1
258,کی ساعت بذارم برای نماز,1
259,افطار کیه,1
260,ماه رمضون امسالم که تو تابستونه,1
261,آیا نمازم قضا شده است,1
262,تا چه ساعتی فرصت دارم نماز بخوانم,1
263,چند ساعت دیگر می‌توانم افطار کنم,1
264,اذان صبح ساعت چند است,1
265,اذان صبح کیه,1
266,فاصله اذان صبح تا طلوع خورشید چقدره,1
267,طلوع خورشید فردا کرمان چه زمانی است,1
268,فردا اذان صبح چه ساعتیه,1
269,نیمه شب شرعی چه ساعتیه,1
270,اذان ظهر اصفهان و تهران چقدر اخلاف داره,1
271,نماز قضا نشه,1
272,اذان صبح کی هست,1
273,اذان صبح در مشهد چه زمانی است,1
274,آفتاب کی طلوع میکنه,1
275,چرا در ماه رمضان سرعت حرکت اذان صبح خیلی زیاد است,1
276,اذان صبح تهران دیروز چه زمانی بود,1
277,اذان ظهر شیراز فردا چه زمانی است,1
278,اذان مغرب ساعت چنده,1
279,اذان ظهر چقد هوا گرمه,1
280,قبل از اذان مغرب می‌رسی خونه,1
281,اذان شهرتون چند دیقه با اینجا فاصله داره,1
282,تفاوت اوقات شرعی نیمه شب تهران و تبریز چقدر است,1
283,اذان صبح به وقت تهران چه ساعتی هستش,1
284,اذان مغرب اعلام شده,1
285,اذان صبح اینجا زودتر از تهران هستش,1
286,اذان ظهر رو کی میگن,1
287,اذان صبح فردا در کرمان چه ساعتی است,1
288,شهر هم افق با تهران کجاست,1
289,نیمه شب شرعی پاییز و زمستان با هم متفاوت است,1
290,چرا اذان مغرب تهران با اصفهان فرق داره,1
291,نیمه شب شرعی چگونه محاسبه می‌شود,1
292,نماز صبح در تهران چه ساعتی قضا می‌شود,1
293,اذان ظهر به افق شوشتر چه ساعتی است,1
294,در اهواز اذان مغرب زودتر است یا شوشتر,1
295,اذان صبح به افق قزوین در تاریخ ۱۷ آذر چه ساعتی است,1
296,اذان صبح فردا ساعت چنده,1
297,چقدر تا اذان مغرب مونده,1
298,نیمه شب شرعی فردا شب توکیو چه ساعتی است,1
299,از اذان ما تا اذان شما چقدر است,1
300,اذان مغرب به افق کاخ سفید ساعت چند است,1
301,نماز ظهر و عصر امروز ساعت چند قضا می‌شود,1
302,نیمه شب شرعی امشب ساعت چند است,1
303,اختلاف ساعت اذان مغرب و صبح چند ساعت است,1
304,اذان ظهر چه ساعتی است,1
305,نماز صبح چه ساعتی قضا می‌شود,1
306,اذان مغرب به افق اهواز چند است,1
307,اذان صبح ساری فردا چه ساعتی است,1
308,غروب آفتاب تهران امروز چه زمانی است,1
309,طلوع خورشید فردا در مسکو در چه ساعتی است,1
310,اذان مغرب فردا به افق لندن چه زمانی است,1
311,اختلاف زمانی بین اذان صبح تبریز با اذان صبح مشهد چقدر است,1
312,اذان صبح رشت چه زمانی است,1
313,در کدام شهر زودتر اذان زده می‌شود,1
314,اذان صبح یک قرن آینده در مشهد چه زمانی خواهد بود,1
315,اذان صبح تا اذان مغرب چقدر فاصله دارد,1
316,اذان صبح در لس آنجلس چه زمانی است,1
317,اذونو گفتن,1
318,چقد به اذون مونده,1
319,نیمه شب شرعی مشهد چه ساعتی است,1
320,اذان صبح در مشهد امروز چه ساعتی است,1
321,فاصله اذان ظهر مشهد با نیشابور چقدر است,1
322,اذان مغرب به افق اصفهان چه وقتیه,1
323,اوقات شرعی در جنوبگان چطوره,1
324,اذان صبح ساعت چند هست,1
325,کی باید نماز بخونم,1
326,چه ساعتی افطار می‌کنیم,1
327,چرا اذان مغرب راتابستانها دیر و زمستانها زود میگویند,1
328,نیمه شب شرعی دقیقا به چه معناست,1
329,ایا اذان صبح تهران و سمنان هر دو در یک زمان گفته میشود,1
330,نیمه شب شرعی چیه,1
331,اذان ظهر با اذان عصر چه فرقی داره,1
332,اذان صبح به افق یزد چه ساعتی است,1
333,اذان صبح در سانتا کلارا کی هستش,1
334,چند دقیقه تا اذان ظهر باقی مونده,1
335,نیمه شب شرعی تهران چه ساعتیه,1
336,استقلال چند ساعت بعد اذان مغرب برگزار میشه,1
337,ا‌‌ذون زده,1
338,کی افطار بخوریم,1
339,کی سحری بخوریم,1
340,اذان صبح بورلی هیلز چه ساعتی است,1
341,اذان ظهر پراگ با اینجا چه‌قدر تفاوت دارد,1
342,آیا تا اذان مغرب کاشان کمتر از یک ساعت مانده,1
343,آیا از نیمه‌شب شرعی پیونگ‌یانگ گذشته است,1
344,فاصله اذان ظهر گوتنبرگ و استکهلم چقدر است,1
345,اذان مغرب تهران چه ساعتیه,1
346,نیمه‌شب تهران چه زمانی‌ست,1
347,اذان ظهر تهران چه زمانی است,1
348,آیا از نیمه شب شرعی مشهد گذشته است,1
349,اذان صبح شیراز و اصفهان چقدر تفاوت دارد,1
350,اذان مغرب اهواز را گفته‌اند,1
351,فاصله اذان ظهر اینجا و رشت چقدر است,1
352,طلوع آفتاب چه ساعتی است,1
353,الان باید چه نمازی بخوانم,1
354,یک ساعت دیگر کدام نماز قضا میشود,1
355,فاصله بین نماز صبح و طلوع آفتاب چه قدر است,1
356,آفتاب در کدام شهر ایران زودتر غروب میکند,1
357,نیمه شب شرعی امروز چه ساعتی است,1
358,اذان مغرب تهران,1
359,اذان صبح به وقت اصفهان,1
360,زمان افطار به وقت تهران,1
361,زمان سحر به وقت اهواز,1
362,تا اذان ظهر چقدر مانده‌است,1
363,نیمه شب شرعی کی,1
364,امروز اذان ظهر به افق تهران چه ساعتی است,1
365,پس کی اذان میگن,1
366,طول روز امروز چقدر است,1
367,اذان رو گفتند,1
368,اذان صبح ساعت چند شده,1
369,اذان مغرب ساعت چند است,1
370,اذان ظهر ساعت چند است,1
371,اذان صبح در مشهد چه زمانی است,1
372,اصول وضوع چگونه است,1
373,نماز شکسته در چه صورت است,1
374,کی وقت نماز میشه,1
375,اذان رو کی میگن,1
376,اینجا اذان ساعت چنده,1
377,صبح کی پاشیم برا نماز,1
378,نماز صبح در قطب شمال چه ساعتی است,1
379,آیا الان در بیجینگ وقت نماز عصر شده است,1
380,فاصله اذان ظهر و مغرب تگزاس چقدر است,1
381,چند دقیقه تا نیمه شب شرعی در سن لوپز مانده است,1
382,در قطب مردم کی نماز میخونن,1
383,آیا در تهران اذان مغرب شده است,1
384,در مشهد چقدر تا نیمه شب شرعی باقی مانده است,1
385,اذان ظهر چه ساعتی است,1
386,بین اذان ظهر و اذان مغرب در رشت چند ساعت فاصله است,1
387,بین اذان صبح در تهران و زنجان چقدر فاصله زمانی هست,1
388,طلوع افتاب کردستان امروز چه زمانی است,1
389,اذان صبح تهران و وین چقدر تفاوت دارد,1
390,اذان مغرب از ابتدای یک ماه تا انتهای آن حدودا چقدر جا به جا میشود,1
391,بیشترین اختلاف زمانی در اذان صبح در کدام دو نقطه از ایران اتفاق می‌افتد,1
392,فاصله اذان صبح تا طلوع آفتاب دیروز چقدر بود,1
393,اذان ظهر تهران فردا چه زمانی است,1
394,اذانو کی می‌گن,1
395,اذان صبح اصفهان چقدر جلوتره,1
396,به اذان چقدر مونده,1
397,نیمه‌شب شرعی گذشت,1
398,نماز مغرب کی قضا می‌شه,1
399,نماز عید فطر کی برپا می‌شه,1
400,عید فطر فرداست یا پس‌فردا,1
401,طلوع آفتاب چه ساعتیه,1
402,اذان ظهر کیه,1
403,اذان صبح فردا همدان چه زمانی است,1
404,ماه رمضون تهران زودتر اذان میشه یا اصفهان,1
405,زمستون چرا انقدر زود مغرب میشه,1
406,اذان صبح اصفهان چه ساعتیه,1
407,اذان صبح چه ساعتیه,1
408,تا غروب چقدر مونده,1
409,اذان ظهر شده,1
410,ساعت چند اذان صبح میگن,1
411,فاصله اذان تهران با اینجا چقدره,1
412,نیمه‌شب شرعی کی هست,1
413,اذان ظهر کی میگن,1
414,اذان اونا نیم ساعت از ما جلوتره,1
415,اذان صبح تهران امروز چه زمانی است,1
416,نیمه شب شرعی کرمان در چه زمانی است,1
417,کی اذان میگه,1
418,ساعت چنده,2
419,الان تو مونیخ ساعت چنده,2
420,اختلاف زمانیمون با استانبول چقدره,2
421,ساعت چنده,2
422,چقدر مونده تا ۲,2
423,الان کانادا شبه یا روز,2
424,الان ۲۳ و ۲۳ دقیقه است,2
425,اختلاف زمانی ساعت ایران و ترکیه چقدر است,2
426,امروز چندم است,2
427,زمان سال تحویل سال ۱۴۰۰ چه ساعتی است,2
428,چند ساعت تا غروب مانده,2
429,تهران چند ساعت با کابل اختلاف زمانی دارد,2
430,الان ساعت در تهران چند است,2
431,در دنیای تو ساعت چند است,2
432,ساعت چند بیرون میروی,2
433,چند ساعت دیگر به کرمان میرسیم,2
434,آیا قرار امروز ساعت ۴ است,2
435,فاصله‌ی زمانی تهران و مسکو چقدر است,2
436,ساعت برلین چقدر از ساعت تهران عقب‌تر است,2
437,اونجا الان ساعت چنده,2
438,الان ساعت چنده,2
439,الان دیروقت نیست تو استکهلم,2
440,تو برلین چه ساعتی معادل زمان تهران ساعت کاریشون شروع میشه,2
441,ساعت چنده,2
442,می‌تونم به عموم تو کالیفرنیا زنگ بزنم,2
443,الان کانادا ساعت چند است,2
444,چند ساعت برای انجام این پروژه نیاز دارم,2
445,امروز زمان برای تو هم زود گذشت,2
