,questions,class0
696,اختلاف ساعات سانتا آنا و شیراز چقدر هستش,2
697,ساعت چنده,2
698,الان که اینجا شبه اونجا روزه,2
699,ساعت کرج الان چند است,2
700,اختلاف زمانی اردکان و لیسبون چقدر است,2
701,ساعت ابوظبی با ساعت جهانی چقدر اختلاف دارد,2
702,آیا در بیروت ساعت از دوازده نیمه‌شب گذشته است,2
703,الان در ونکوور ساعت چند است,2
704,الان تو لندن ساعت چنده,2
705,ساعت ساحل شرقی آمریکا چند است,2
706,اختلاف ساعت تهران و تورنتو چقدر است,2
707,الان در لندن شب است یا روز,2
708,در چه ساعتی از روز میتوانم با دوستم در آمریکا صحبت کنم,2
709,الان در برلین ساعت چند است,2
710,چند ساعت دیگر در استرالیا صبح میشود,2
711,ساعت هشت صبح تهران چه ساعتی در مونیخ است,2
712,اختلاف ساعت تهران با سیدنی چند ساعت است,2
713,الان در سیدنی چه ساعتی است,2
714,الان شب است یا روز,2
715,ساعت آمریکا چند است,2
716,الان ساعت gmt چند است,2
717,اختلاف ساعت ترکیه و ایران چقدر است,2
718,الان در آمریکا شب است یا روز,2
719,در قطب جنوب ساعت چنده,2
720,اختلاف ساعت شرق و غرب آمریکا چقدره,2
721,اختلاف ساعت تهران با پاریس در نیمه‌ی دوم سال چقدر است,2
722,مسکو چند ساعت عقب یا جلو‌تر از استانبول است,2
723,طلوع آفتاب در برلین امروز چه ساعتی است,2
724,ساعت چنده,2
725,ساعت در کالیفرنیا چند است,2
726,آیا در تورنتو نیمه شب است,2
727,تفاوت ساعت آمریکا با ایران چقدر است,2
728,اختلاف ساعت ما با اروپا چقدر است,2
729,آمریکا ساعت چند است,2
730,امروز چندمه,2
731,اختلاف ساعت در شهر‌های امریکا چقدر است,2
732,ساعت الان در چین چند است,2
733,اختلاف ایران و کانادا چند ساعت است,2
734,اصلا ساعت چنده,2
735,جناب ساعت چنده,2
736,تهران با گرینویچ چند ساعت اختلاف دارد,2
737,شانگهای چند ساعت از تهران جلوتر است,2
738,پاریس چند ساعت از توکیو عقب‌تر است,2
739,الان در تگزاس روز است یا شب,2
740,خورشید کی طلوع می‌کند,2
741,ایا الان در مکزیک نیمه شب است,2
742,ما با انگلستان چه قدر اختلاف زمانی داریم,2
743,به نظرت الان در توکیو صبح شده,2
744,در ملبورن الان وسط روز است,2
745,الان در ایروان ساعت چند است,2
746,آیا الان در کابل ظهر است,2
747,در سنندج آفتاب چه ساعتی غروب می‌کند,2
748,الان مردم اونور دنیا دارن چیکار میکنن,2
749,ساعت چنده,2
750,الان تو تورنتو شبه یا روز,2
751,اختلاف زمانی تهران و مسکو چقدر است,2
752,الان ساعت در کالیفرنیا چند است,2
753,اختلاف زمانی میان شمالی‌ترین و جنوبی‌ترین ایالت آمریکا چقدر است,2
754,اگر در تهران ساعت ۸ شب باشد در سیدنی ساعت چند است,2
755,ساعت لندن الان چند است,2
756,الآن نیویورک چه ساعتیه,2
757,الآن ونکوور شبه,2
758,ساعت هفت ما می‌شه چند لندن,2
759,امروز کی کلاس داری,2
760,اختلاف ساعت ایران با آمریکا حدودا چند ساعته,2
761,فردا ساعت چند باید این‌جا باشم,2
762,اختلاف زمان ژاپن و ایران چقدر است,2
763,الان سئول ساعت چنده,2
764,الان شیلی ساعت چنده,2
765,اگه یه روز برم آفریقا اختلاف ساعتش با ایران چقدره,2
766,چقدر به ساعت دو مونده,2
767,نه ساعت دیگه ساعت چنده,2
768,وقت محلی نیویورک,2
769,الان ساعت چنده,2
770,ساعت تو واشینگتن چنده,2
771,الان تو استرالیا روز هست,2
772,چقد با شما اختلاف ساعت داریم,2
773,اونا ۴ ساعت از ما جلوتر هستن,2
774,اختلاف ساعتی تهران و کالیفرنیا چقدر است,2
775,الان در مسکو شب است یا روز,2
776,فردا چه روزی از ماه دسامبر است,2
777,ساعت پکن اکنون چند است,2
778,میلاد پیامبر چه زمانی است,3
779,امروز چندمه,3
780,چند روز مونده تا عید,3
781,تعطیلی بعدی کیه,3
782,سیزده مهر چند شنبست,3
783,تاریخ وفات امام خمینی ره چه روزی است,3
784,تاریخ پیروزی جمهوری اسلامی چیست,3
785,شاه کی ایران را ترک کرد,3
786,امام خامنه‌ای ره در چه تاریخی رهبر ایران شد,3
787,امام خمینی در چه تاریخی ایران را ترک می‌کند,3
788,امروز چندم ماه است,3
789,این ماه چند روز دارد,3
790,تاریخ امروز به میلادی چیست,3
791,سه شنبه چندم ماه است,3
792,رحلت پیامبر چه روزی است,3
793,ولادت حضرت علی چه روزی است,3
794,مبعث در کدام ماه قمری قرار دارد,3
795,آخرین جمعه این ماه چه تاریخی خواهد بود,3
796,آیا سه شنبه هفته دیگر تعطیل است,3
797,کدام ماه از سال ۲۹ روز دارد,3
798,اولین تعطیلی کیه,3
799,عید نزدیک است,3
800,مهر ماه سرد‌تری‌است یا فروردین,3
801,عید نوروز چندشنبه است,3
802,امروز چندم ماه است,3
803,فردا عید قربان هست,3
804,فردا مناسبت خاصی داریم آیا,3
805,چند روز تا عید فطر مونده,3
806,سال نوی میلادی چه روزی تو دی ماه میشه,3
807,عید نوروز ۱ ام فروردین است,3
808,امسال ماه رمضان از چه تاریخی شروع خواهد شد,3
809,پارسال چند روز در تقویم تعطیلی داشتیم,3
810,ولنتاین امسال چندم کدام ماه است,3
811,عاشورا تاسوعا کیه,3
812,امروز چند شنبه‌ست,3
813,چقدر مونده تا عید,3
814,عید بریم شمال,3
815,امروز چندم است,3
816,چند هفته دیگر تا پایان ترم باقی مانده است,3
817,تولدت کی عه,3
818,امروز چند شنبه است,3
819,امروز به چه مناسبتی تعطیل است,3
820,امروز چندمه,3
821,چن تا تعطیلی داریم,3
822,فردا تعطیل است,3
823,امروز چندم برجه,3
824,چند ماه دیگه عید میشه,3
825,این هفته هر روز ددلاین تمرین دارم,3
826,نزدیکترین تعطیلی رسمی برای رفتن به مسافرت چه زمانیه,3
827,۱۶ آذر روز دانشجوست,3
828,عید نوروز بهترین مناسبت در ایران است,3
829,شب یلدا ۳۰ آذر است,3
830,روز مادر کی است,3
831,فردا به چه مناسبتی تعطیل است,3
832,تقویم سال جدید کی میاید,3
833,امروز چندم ماه است,3
834,فردا چه مناسبتی است,3
835,چرا مناسبت‌های تعطیلی مصادف با جمعه می‌شوند,3
836,آیا مناسبت دیروز مهم بود,3
837,چرا در مناسبت‌های شهادت همه جا تعطیل است,3
838,امروز چه مناسبتی است,3
839,تاریخ تولد شما چندم است,3
840,کریسمس پارسال چه روزی بود,3
841,فکر میکنی امسال روز کارگر برگزار میشود,3
842,شجریان چه روزی درگذشت,3
843,چند روز دیگه عیده,3
844,روز جهانی داروساز چه روزیست,3
845,آیا امروز روز جهانی معلولان است,3
846,چند روز تا عید نوروز مانده,3
847,امسال چارشنبه سوری چندم اسفند است,3
848,چند روز از عید فطر میگذرد,3
849,امسال روز دانشجو چند شنبه است,3
850,چند روز تا انتخابات مانده,3
851,فردا چه روزی است,3
852,عید فطر سال دیگر چه روزی است,3
853,چند تعطیلی مناسبتی در سال داریم,3
854,مناسبت‌های امروز چه چیزی هستند,3
855,اختلاف تاریخ قمری و شمی تولد تو چقدر است,3
856,روز جهانی شیخ مفید چه روزی است,3
857,۱۳ رجب چه مناسبتی دارد,3
858,۲ ژوئن ۲٠٠۱ در تاریخ شمسی چه روزی است,3
859,۱۱ محرم ۱۴۲۱ به میلادی چه تاریخی است,3
860,هفته بسیج در چه تاریخی است,3
861,مبعث رسول در چه تاریخ قمری است,3
862,روز جهانی پسر در چه ماه میلادی است,3
863,چند روز تا عید نوروز مانده است,3
864,روز جهانی زن در تقویم هجری قمری چه روزی است,3
865,تقویم هجری شمسی با هجری قمری چند روز اختلاف دارند,3
866,روز آزادی خرمشهر در تقویم میلادی چه روزی است,3
867,۱۹ شهریور چه مناسبت هایی دارد,3
868,آغاز تاریخ میلادی چه واقعی بود,3
869,امروز چندمه,3
870,چندروز تا شب یلدا مانده است,3
871,دوسال پیش روز پدر درچه روزی بود,3
872,هفته آینده چه مناسبتی است,3
873,روز جهانی مبارزه با خشونت علیه زنان چه روزیست,3
874,تولدم کیه,3
875,امروز چندم ماه است,3
876,این ماه چند روز دارد,3
877,تاریخ امروز به میلادی چیست,3
878,سه شنبه چندم ماه است,3
879,چند روز در ماه تعطیله,3
880,عید چند روز دیگه‌ هست,3
881,روز جهانی درختکاری چه روزی هست,3
882,عید مبعث کی است,3
883,چرا تقویم‌های میلادی شمسی و قمری با یکدیگر فرق دارند,3
884,فاصله بین عید قربان و عید غدیر چن روز است,3
885,چرا تعطیلی نداریم این ماه,3
886,تا تولدت چند روز مونده,3
887,امسال عید فطر چند شنبه هست,3
888,چند روز تا کریسمس مونده,3
889,چند تا تعطیلی تو این ماه داریم,3
890,تفاوت تعداد روز تعطیل ایران و برزیل چند تاست,3
891,امسال چند روز تعطیلی داریم,3
892,روز جهانی کودک ۱۲ مرداده,3
893,تاریخ تولدت کیه,3
894,فردا سالگرد ازدواجمونه,3
895,چند روز تا نوروز ۱۴۳۲ مانده,3
896,روز جهانی معلولان چند روز پیش بود,3
897,تا روز مادر چقدر مانده,3
898,۲۰ روز پیش چه مناسبتی داشتیم,3
899,این هفته چه مناسبتی داریم,3
900,مناسبت امروز چیه,3
901,اولین تعطیلی بعد از امروز که جمعه نیست چه روزی‌ست,3
902,امروز چندم آذر است,3
903,روز جهانی کودک چه روزی است,3
904,پارسال ماه رمضان از کی شروع شد,3
905,امسال سال تحویل چند شنبه است,3
906,چهارشنبه سوری پارسال چندم اسفند بود,3
907,آیا روز پسر داریم,3
908,روز تولد من برابر است با روز مرگ علی شریعتی چند روز تا تولد من باقی مانده,3
909,چند روز تا یک تاریخ رند فاصله داریم,3
910,تا عید نوروز چند روز باقی مانده,3
911,تاریخ امروز به میلادی,3
912,تاریخ ولنتاین به شمسی,3
913,تاریخ ۲۰ اردیبهشت ۹۹ به میلادی,3
914,۲۸ صفر کیه,3
915,آیا امروز روز جهانی کودک است,3
916,شب یلدا کی,3
917,۲۲ اسفند چند شنبه میشه,3
918,چقدر مانده تا عید نوروز,3
919,روز سینما در چه تاریخیست,3
920,روز تولدت چند روز دیگر است,3
921,چه روز هایی در این ماه تعطیل رسمی هستند,3
922,امسال سال کبیسه است,3
923,۲۲ بهمن چند روز دیگه است,3
924,این ماه چند تا مناسبت تعطیلی داریم,3
925,این ماه مناسبت خاصی داریم,3
926,مناسبت‌های زمستان بیشتر است یا بهار,3
927,چندتا عزاداری داریم این ماه,3
928,چند تا خوشحالی مذهبی داریم این ماه,3
929,تعطیلی غیرمذهبی هم داریم,3
930,تعطیلی‌های امسال چیست,3
931,امروز چه روزیست,3
932,روز مادر کی است,3
933,روز مادر کی است,3
934,فردا به چه مناسبتی تعطیل است,3
935,تقویم سال جدید کی میاید,3
936,امروز چندمه ستون,3
937,داداش چند روز تا عید مونده,3
938,روز جهانی سرطان مغز کدوم ماه میشه,3
939,بیست روز دیگه چندمه,3
940,مناسبت بعدی چیست,3
941,چند روز تا سال نو مانده,3
942,بزرگداشت کوروش بزرگ چه روزی است,3
943,نزدیک‌ترین تعطیلی رسمی چه روزی است,3
944,اول ژانویه مصادف با کدام روز تقویم خورشیدی است,3
945,فردا عید است,3
946,چه قدر مانده تا کریسمس,3
947,فاصله روز جهانی درخت کاری و روز جهانی اعتیاد چه قدر است,3
948,آیا تعطیلات تابستان یک ماه دیگر است,3
949,روز دانشجو کی,3
950,آیا فردا تعطیل است,3
951,پس فردا عید است,3
952,مناسبت امروز چیست,3
953,روز جهانی چپ دست‌ها کی است,3
954,روز پسر چندمه,3
955,عید قربان پارسال چه روزی از تاریخ شمسی بودی,3
956,روز صادرات چه روزی است,3
957,روز جهانی سرطان سینه چه روزی است,3
958,روز پدر امسال چه تاریخی است,3
959,عید فطر سال آینده چه روزی است,3
960,روز دانشجو سال بعد چه روزی است,3
961,فردا عیده,3
962,روز جهانی زن مبارک مگه فردا عیده که تعطیله,3
963,امسال اسفند سی روزه,3
964,هفتهٔ دیگه بین‌التعطلین داره,3
965,چقدر تا ماه رمضون مونده,3
966,تولدت چندم آبانه,3
967,جشن روز دانشکده سه دی بود یا چهار دی,3
968,فردا مناسبت خاصیه,3
969,نظرت چیه به مناسبت روز مهندس یه جشن برگزار کنیم,3
970,تقویم قمری چندروزه‌س,3
971,امسال کبیسه است,3
972,چند روز تا کریسمس مونده,3
973,روز جهانی خبرنگار چه روزیه,3
974,چرا تولدم شهریوره,3
975,روز دانشجو چه روزیه,3
976,امسال محرم کی شروع میشه,3
977,چند روز تا عید نوروز مونده,3
978,تعطیلی بعدی کیه,3
979,امروز چندمه,3
980,هفته بعد به چه مناسبتی تعطیله,3
981,چقد مونده تا تولد مامان,3
982,سال پیش اربعین چه روزی بود,3
983,روز پزشک کی هست,3
984,چند روز تا شب یلدا باقی مانده,3
985,روز معلم چه تاریخی است,3
986,تاریخ تولدت شما چه روزی است,3
987,فردا چندم است,3
988,فردا چه مناسبتی هست,3
989,امروز چه روزیه,3
990,شب است,4
991,آیا برنامه‌ی هواشناسی را دیدی,4
992,چگونه وضعیت هوا را میتوان پیش بینی کرد,4
993,امیدوارم هوای دیزین هفته آینده برفی باشد,4
994,سایت هواشناسی را بررسی کرده‌ای,4
995,چرا در فصل زمستان پوست دست خشک میشود,4
996,برای هوای فردا چه لباسی مناسب است,4
997,آیا هوا برای ماهیگیری مناسب است,4
998,هوا خیلی خوبه,4
999,هوا دو‌نفره‌س,4
1000,آلودگی هوای امروز چقدر است,4
1001,این هوا برای سیگار زیادی عالی نیست,4
1002,از هوای گرم بیزارم,4
1003,هوا هوای دو نفره است,4
1004,هوای قم چه کم از هوای تهران دارد,4
1005,آیا آب تهران بهتر از هوای آن نیست,4
1006,کجا برف آمده است,4
1007,به نظرت هوای برفی قشگه,4
1008,شما هم از هوای سرد متنفرید,4
1009,خیلی هوا دمه,4
1010,توی چه فصلی خوبه آدم بره سفر,4
1011,چیشد میتونستیم برای همیشه از هوای پاک لذت ببریم و دیگه الوگدی نباشه,4
1012,عجب هوای دو نفره‌ای,4
1013,هوای تهران کیری‌ست,4
1014,در این مه چطور رانندگی کنم,4
1015,هوا دو نفره است,4
1016,امروز هوا بارونی بود,4
1017,تو این هوا بهتر نیست بریم بیرون,4
1018,هوا یه کم سرد نشده,4
1019,هوا چطوره,4
1020,قبل از شب میباشد,4
1021,منبع معتبر اعلام اوقات شرعی چیست,4
1022,از چه سایتی میشه اوقات شرعیو پیدا کرد,4
1023,ساعت گذاشتی برای سحر,4
1024,من دیروز برای نماز صبح خواب موندم,4
1025,روزه در چه صورتی باطل میشود,4
1026,اصول وضوع چگونه است,4
1027,نماز شکسته در چه صورت است,4
1028,چرا اوقات شرعی مناطق مختلف تا این حد متفاوت است,4
1029,زمان‌های دقیق اوقات شرعی به چه صورت تعیین می‌شوند,4
1030,ترجیح میدی اذان مغرب دیرتر باشه یا زودتر,4
1031,چرا اذان نمیگن,4
1032,فوتبال پرسپولیس,4
1033,ساعت ۶ منتظرتم,4
1034,تو این ساعت شهر خیلی شلوغه,4
1035,زمان روزه تابستان فنلاند چقدره,4
1036,میتونی منو برای اذان صبح بیدار کنی,4
1037,برنامه را وسط اذان قطع می‌کنند,4
1038,روزه در چه صورتی باطل میشود,4
1039,نماز نمی‌خونم که بخوام ساعت دقیق اوقات شرعی رو بدونم ولی حوالی ۱۲ اذان ظهر حوالی ۵ اذان مغرب ۱۱ شب هم حدودا قضا میشه,4
1040,مدت زمان روزه گرفتن تو گدوم شهر ایران کمتره,4
1041,برای پرکردن فرم چقدر زمان لازم است,4
1042,فوتبال چه ساعتی برگزار می‌شود,4
1043,عقربه ساعت شمار روی کدام عدد قرار دارد,4
1044,کی ویروس کرونا تمام میشود,4
1045,کی می‌آیی,4
1046,چه زمانی برای رفتن بهتر است,4
1047,در مورد رمان برندشون سندرسون به نام چرخ زمان شنیدی,4
1048,چند ساعت از گل آخر منچستر سیتی در لیگ قهرمانان قبل گذشته است,4
1049,ساعت رند نشد درس بخونم,4
1050,ساعت چند مترو باشم,4
1051,امروز چه ساعتی می‌توانم تو را ببینم,4
1052,دیشب چند ساعت خوابیدی,4
1053,سفر در زمان ممکنه,4
1054,زمان بعد چندمه,4
1055,به ساعت درون اعتقاد داری,4
1056,فوتبال ساعت چند است,4
1057,چه ساعتی کلاس داری و باید از خواب بیدار بشی,4
1058,فوتبال بارسلونا ساعت چنده امشب,4
1059,ساعت ۶ قدیم است یا جدید,4
1060,اختلاف زمانی ویندوز و لینوکس با هربار عوض شدن چند ساعت است,4
1061,دوست دارید الان چه ساعتی از شبانه روز باشد,4
1062,یازده قدیم یا یازده جدید,4
1063,ساعت چند کلاس داری,4
1064,برای پرکردن فرم چقدر زمان لازم است,4
1065,ساعت چند می‌رسی خونه,4
1066,مهمونی چند ساعت طول می‌کشه,4
1067,شبا کی می‌خوابی,4
1068,کلاس از چه ساعتیه تا چه ساعتی,4
1069,چرا هیچ اختلاف زمانی بین دو کشور فرانسه و اسپانیا نداریم,4
1070,چرا بین ایران و کشور هایی اروپایی حداقل سه و نیم ساعت اختلاف زمانی داریم,4
1071,چرا گرینویچ مهمترین ساعته,4
1072,منطقه زمانی چین کدومه,4
1073,کدوم کشور همین الان نسبت به ایران تاریخ متفاوتی داره,4
1074,وقت چقدر میرزه,4
1075,دیروز چقدر کیف داد,4
1076,امروز شهر قشنگ شده,4
1077,فردا چیکار کنیم,4
1078,پارسال بهار دسته جمعی رفته بودیم زیارتxD,4
1079,بیشترین تفاوت ساعت با ایران مربوط به کجاست,4
1080,خانومی ساعتی چند,4
1081,اون ور آب ساعتی چنده,4
1082,اگر الان ۶ باشه فردا کی ساعت ۶ میشه,4
1083,وقتی من دارم به کلاسای آنلاین کسشر گوش میدم جایی مثل آمریکا که شبه چند نفر دارن واسه همدیگه میخورن,4
1084,چند نفر دارن به قتل میرسن,4
1085,چند نفر به دنیا میان,4
1086,جالبه دونستن اینا,4
1087,چند ساعت دیگه می‌رسیم,4
1088,می‌شه نیم ساعت قبل از رفتنت به من خبر بدی,4
1089,کی بیام,4
1090,وقت دکترت واسه چند شنبه بود,4
1091,هفته دیگر,4
1092,چهارشنبه ۸ آذر,4
1093,تولد تو کی است,4
1094,تولد علی کی بود,4
1095,هیچ استفاده‌ای از تقویم فیزیکی نمیکنم شما چطور,4
1096,صفر ماه سنگینیه,4
1097,اسفند شده خیابون‌ها ترافیکه,4
1098,طبق تقویم داره نزدیک یکسال میشه که کرونا اومده,4
1099,در تاریخ ۹,4
1100,۹,4
1101,۹۹ چه تعداد کودک به دنیا امدند,4
1102,ماهو دیدن,4
1103,برای ماه رمضون,4
1104,تقویم چه کشورایی با خورشید تنظیم نشده,4
1105,ماه گرد نامزدی هم جشن میگیرن,4
1106,چندم میرسی مشتی,4
1107,دوست دارم یه بار روز جهانی بدون سوتین رو جشن بگیرم خخخ,4
1108,چرا نصف سپتامبر شهریوره نصف دیگش مهره,4
